City,Country Code,Lat [deg],Long [deg],Temperature [F],Humidity [%],Cloudiness [%],Wind Speed [mph]
taltal,cl,-25.4,-70.48,59.45,90,75,0.77
roebourne,au,-20.78,117.13,98.56400000000004,27,15,3.37
aranos,na,-24.13,19.12,70.62800000000007,20,3,1.77
ellisras,za,-23.66,27.74,76.08200000000002,56,0,3.3
mount isa,au,-20.73,139.5,91.4,22,0,6.2
caraguatatuba,br,-23.63,-45.49,69.8,83,20,1
saint-leu,re,-21.15,55.28,77.91800000000009,83,75,6.2
antofagasta,cl,-23.65,-70.4,64.4,88,75,4.1
tartagal,ar,-22.52,-63.8,76.98200000000001,66,100,1.18
isangel,vu,-19.55,169.27,91.4,63,75,5.1
georgetown,sh,5.41,100.34,90.28399999999999,66,20,2.6
port hedland,au,-20.32,118.57,95.0,41,9,2.6
gobabis,na,-22.45,18.97,62.6,88,34,1.5
bataipora,br,-22.3,-53.27,70.64600000000004,85,23,0.95
alofi,nu,-19.06,-169.92,80.6,88,100,2.1
bourail,nc,-21.57,165.48,80.72600000000008,78,100,2.55
okakarara,na,-20.58,17.43,69.11600000000001,41,13,1.51
henties bay,na,-22.12,14.28,60.998000000000026,96,0,0.38
puerto ayora,ec,-0.74,-90.35,78.00800000000001,84,62,0.89
broome,au,42.25,-75.83,36.14000000000002,59,90,6.2
caravelas,br,-17.71,-39.25,79.62800000000007,75,61,1.47
pedregulho,br,-20.26,-47.48,64.70600000000003,94,0,3.22
tautira,pf,-17.73,-149.15,86.93600000000006,70,20,5.1
namibe,ao,-15.2,12.15,75.61400000000003,72,92,2.31
toamasina,mg,-18.17,49.38,75.2,94,75,6.2
pompeu,br,-19.22,-44.94,67.64000000000001,94,74,2.6
pisco,pe,-13.7,-76.22,73.22000000000006,78,73,1
san jose,bo,37.34,-121.89,52.268000000000086,66,1,3.07
quatre cocos,mu,-20.21,57.76,80.85200000000007,94,75,1
arica,cl,-18.48,-70.3,71.76200000000006,69,100,1
poum,nc,-20.23,164.02,82.68800000000005,77,98,4.19
shakawe,bw,-18.37,21.85,71.45600000000003,79,44,1.73
saint-denis,re,48.92,2.33,42.98000000000004,70,90,2.6
rundu,na,-17.93,19.77,69.24199999999999,82,75,2.54
aguas formosas,br,-17.08,-40.94,65.87600000000009,99,8,0.59
mutoko,zw,-17.4,32.23,71.07800000000006,74,7,0.16
vaitape,pf,-16.52,-151.75,83.10200000000007,79,89,7.16
torata,pe,-17.08,-70.84,59.61200000000006,85,100,1.37
kariba,zw,-16.52,28.8,72.91400000000003,80,58,1.02
soanierana ivongo,mg,-16.92,49.58,79.08800000000005,80,100,5.3
maceio,br,-9.67,-35.74,77.0,94,75,1.5
alyangula,au,-13.85,136.42,93.2,59,40,3.1
san miguel,bo,13.48,-88.18,74.066,79,57,0.42
cap malheureux,mu,-19.98,57.61,81.158,94,75,1
san matias,bo,-16.37,-58.4,77.14400000000008,83,1,1.83
karratha,au,-20.74,116.85,83.26400000000004,74,28,6.47
grand gaube,mu,-20.01,57.66,81.08600000000007,94,75,1
antsohihy,mg,-14.88,47.99,79.30400000000006,80,100,1.16
hithadhoo,mv,-0.6,73.08,83.80400000000006,57,14,2.41
belmonte,br,-15.86,-38.88,75.2,88,40,1.5
niquelandia,br,-14.47,-48.46,68.0,95,23,1.39
luganville,vu,-15.53,167.17,84.2,79,75,3.1
mozarlandia,br,-14.74,-50.57,73.59800000000003,88,53,1.6
pontes e lacerda,br,-15.23,-59.34,73.958,89,95,0.99
boyolangu,id,-8.12,111.89,87.62000000000006,67,25,3.89
antalaha,mg,-14.9,50.28,81.05,84,100,12.37
sola,vu,-13.88,167.55,84.88399999999999,76,100,5.9
samarai,pg,-10.62,150.67,83.46200000000006,78,100,2.89
atuona,pf,-9.8,-139.03,82.47200000000004,68,51,4.68
mpongwe,zm,-13.51,28.16,66.542,97,100,0.46
ambilobe,mg,-13.2,49.05,83.24600000000005,77,100,4.99
caala,ao,-12.85,15.56,63.338000000000044,93,95,0.38
kirakira,sb,-10.45,161.92,81.62600000000009,81,78,4.57
ambanja,mg,-13.68,48.45,82.79600000000005,71,100,5.11
port keats,au,-14.25,129.55,93.99199999999999,45,36,3.43
asau,tv,46.43,26.4,37.92200000000004,93,40,1
sambava,mg,-14.27,50.17,76.442,93,100,1.48
vilhena,br,-12.74,-60.15,70.73600000000008,98,100,1.11
pampas,pe,-12.4,-74.9,42.44000000000002,92,97,0.94
camacupa,ao,-12.02,17.48,63.62600000000009,98,100,1.8
faanui,pf,-16.48,-151.75,83.10200000000007,79,89,7.16
sao miguel do araguaia,br,-13.28,-50.16,72.48200000000001,89,10,1.13
daru,pg,-9.08,143.21,86.342,72,75,2.69
gizo,sb,-8.1,156.84,82.20200000000008,79,23,5.61
riberalta,bo,-10.98,-66.1,74.84000000000002,87,100,0.85
kibala,ao,9.11,18.35,70.44800000000002,15,10,2.41
coruripe,br,-10.13,-36.18,80.43800000000005,72,93,3.59
muncar,id,-8.43,114.33,83.78600000000007,69,50,2.02
chicama,pe,-7.84,-79.15,71.6,88,40,3.6
luanda,ao,-8.84,13.23,80.6,88,40,2.1
kroya,id,-7.63,109.25,92.69600000000005,48,100,2.28
olinda,br,-8.01,-34.86,82.4,69,40,3.6
victoria,sc,22.29,114.16,74.3,53,27,1.5
chimbote,pe,-9.09,-78.58,73.38200000000002,79,86,2.34
alta floresta,br,-9.88,-56.09,71.97800000000007,99,100,1.81
lata,sb,40.16,-8.33,49.26200000000006,93,75,1
sechura,pe,-5.56,-80.82,74.76800000000009,87,18,2.79
pimentel,pe,-6.84,-79.93,75.2,73,2,5.7
buin,pg,-33.73,-70.75,66.2,63,43,3.6
auki,sb,-8.77,160.7,84.84800000000003,77,81,8.1
mataram,id,-8.58,116.12,87.8,70,75,4.1
kirando,tz,-7.42,30.6,73.63399999999999,86,100,4.51
chepen,pe,-7.22,-79.45,75.2,73,56,5.7
bulolo,pg,-7.2,146.65,84.27200000000003,51,100,1.68
omboue,ga,-1.57,9.26,77.32400000000001,94,66,0.19
kabinda,cd,-6.13,24.48,68.82800000000006,96,100,1.55
padang,id,-0.95,100.35,82.184,73,38,0.88
kabalo,cd,-6.05,26.92,70.66400000000003,94,100,0.84
pringsewu,id,-5.36,104.97,82.14800000000002,84,100,1.1
nisia floresta,br,-6.09,-35.21,75.2,94,40,4.6
mayumba,ga,-3.43,10.66,82.45400000000005,78,84,1.87
paita,pe,-5.09,-81.11,78.908,68,65,2.49
gamba,ga,-2.65,10,77.95400000000005,90,99,1.57
lusambo,cd,-4.97,23.45,70.592,94,100,0.59
kibaya,tz,-5.3,36.57,65.82200000000003,95,100,1.3
pamanukan,id,-6.28,107.81,88.46600000000001,62,100,1.57
metro,id,-5.11,105.31,86.36000000000008,69,100,1.05
coari,br,-4.08,-63.14,74.984,94,43,0.67
nabire,id,-3.37,135.48,76.316,98,100,0.76
kasongo,cd,-4.45,26.67,70.95200000000008,96,97,1.31
hambantota,lk,6.12,81.12,87.8,66,0,3.6
sibiti,cg,-3.68,13.35,73.00400000000005,93,78,0.09
madang,pg,-5.22,145.8,84.45200000000008,74,100,9.6
paragominas,br,-2.97,-47.48,72.30200000000008,99,100,1.15
buala,sb,-8.14,159.59,82.41800000000009,82,85,5.59
meulaboh,id,4.14,96.13,83.858,73,0,1.53
kavieng,pg,-2.57,150.8,83.89400000000008,76,8,6.76
port-gentil,ga,-0.72,8.78,83.37200000000004,79,94,3.05
pangkalanbuun,id,-2.68,111.62,96.47600000000008,39,68,1.9
kendari,id,-3.94,122.5,83.03000000000004,87,91,1.45
lorengau,pg,-2.02,147.27,84.75800000000001,75,0,6.49
kieta,pg,-6.22,155.63,84.39800000000002,80,71,6.96
itacoatiara,br,-3.14,-58.44,78.8,94,99,0.74
harper,lr,4.38,-7.72,76.766,96,18,1.16
careiro da varzea,br,-3.2,-59.81,80.6,83,51,1
mogadishu,so,2.04,45.34,82.31000000000009,83,82,8.64
boende,cd,-0.22,20.87,72.75200000000008,84,100,1.54
touros,br,-5.2,-35.46,75.2,100,75,3.1
koulamoutou,ga,-1.13,12.47,73.63399999999999,87,85,0.44
inongo,cd,-1.95,18.27,72.734,80,60,1.38
mbandaka,cd,0.05,18.26,72.57200000000003,81,71,1.15
poso,id,-1.4,120.75,70.016,92,95,0.28
takoradi,gh,4.88,-1.76,77.46800000000009,94,1,1.74
axim,gh,4.87,-2.24,77.46800000000009,94,1,1.74
chuka,ke,-0.33,37.65,70.10600000000002,75,97,2.7
terra santa,br,-2.1,-56.49,74.858,96,55,0.61
sao caetano de odivelas,br,-0.75,-48.02,74.13800000000005,97,100,0.62
san patricio,mx,19.22,-104.7,75.02000000000007,85,0,2.43
grand-lahou,ci,5.14,-5.02,83.73200000000001,80,91,6.08
thinadhoo,mv,0.53,72.93,83.87600000000009,64,31,3.7
maua,ke,-23.67,-46.46,71.58200000000002,77,40,3.1
kapit,my,2.02,112.93,88.21400000000003,62,40,1.18
pontian kecil,my,1.48,103.39,87.51200000000006,70,40,3.6
kuching,my,1.55,110.33,87.51200000000006,70,40,2.1
goderich,sl,43.75,-81.72,34.141999999999996,75,33,7.15
salinopolis,br,-0.61,-47.36,81.69800000000002,79,86,6.85
kudahuvadhoo,mv,2.67,72.89,83.94800000000002,72,35,4.06
lazaro cardenas,mx,17.96,-102.2,73.97600000000008,88,30,1.01
ternate,id,0.8,127.4,80.79800000000003,83,100,3.19
grand-santi,gf,4.25,-54.38,71.16800000000009,91,30,0.78
jacqueville,ci,5.21,-4.41,82.4,94,20,2.6
lethem,gy,3.38,-59.8,78.11600000000001,72,28,6.01
sembakung,id,3.82,117.25,89.85200000000007,53,36,2.81
bonoua,ci,5.27,-3.6,82.4,94,20,2.6
lodwar,ke,3.12,35.6,88.32200000000003,38,100,4.34
mosquera,co,4.71,-74.23,57.2,87,75,1.5
banda aceh,id,5.56,95.32,90.23000000000005,50,0,3.28
torit,sd,4.41,32.57,82.058,61,99,0.89
lumut,my,4.23,100.63,91.25600000000003,66,20,1.5
kaabong,ug,3.48,34.15,75.36200000000005,52,100,1.7
monrovia,lr,6.3,-10.8,80.6,94,20,1.5
yabassi,cm,4.46,9.97,80.6,94,75,0.58
itarema,br,-2.92,-39.92,73.5260000000001,97,100,1.41
cabo san lucas,mx,22.89,-109.91,68.93600000000006,68,40,4.89
la palma,pa,33.85,-118.05,54.71600000000001,93,90,1.81
bintulu,my,3.17,113.03,87.49400000000007,74,75,2.6
sao filipe,cv,14.9,-24.5,74.35400000000006,59,100,5.37
upata,ve,8.01,-62.4,71.25800000000001,85,80,1.71
kouango,cf,4.99,19.96,78.99800000000002,51,86,1.19
butaritari,ki,3.07,172.79,83.87600000000009,70,88,4.19
tambura,sd,5.6,27.47,76.208,78,84,2.09
mandera,ke,3.94,41.87,83.31800000000008,55,87,2.23
ugoofaaru,mv,5.67,73,84.11000000000008,75,0,6.29
mutis,co,6.23,-77.4,77.82800000000006,82,96,2.45
marang,my,5.21,103.21,87.51200000000006,74,20,2.6
hilo,us,19.73,-155.09,67.17200000000004,83,90,6.7
pochutla,mx,15.74,-96.47,79.61000000000008,88,20,2.6
odweyne,so,9.41,45.06,66.41600000000001,81,100,4.22
dodola,et,6.98,39.18,58.58600000000007,76,58,0.93
acapulco,mx,16.86,-99.89,80.6,74,20,1
paoua,cf,7.24,16.44,66.36200000000005,19,30,1.66
san cristobal,ve,7.77,-72.22,80.6,69,75,2.1
champerico,gt,14.3,-91.92,76.67600000000009,77,11,2.06
airai,pw,-8.93,125.41,81.35600000000002,53,17,2.75
lumbayao,ph,8.02,125.17,83.46200000000006,43,85,3.45
gambela,et,8.25,34.58,86.77400000000002,51,68,1.03
kilakarai,in,9.23,78.78,82.04000000000002,74,79,6.96
bandarbeyla,so,9.49,50.81,79.05200000000008,80,90,7.1
kambia,sl,9.12,-12.92,70.97000000000006,96,0,1.12
phangnga,th,8.45,98.53,90.44600000000005,55,20,3.1
tucupita,ve,9.06,-62.05,70.484,99,36,1.24
ndele,cf,8.41,20.65,71.924,14,58,1.49
kyabe,td,9.45,18.94,71.72600000000008,15,21,3.46
ko samui,th,9.54,99.94,87.8,70,20,6.2
kapaa,us,22.08,-159.32,72.33800000000005,64,75,4.6
bauchi,ng,10.5,10,60.314000000000036,30,28,1.46
kaduna,ng,10.52,7.44,63.28399999999999,24,0,4.51
makakilo city,us,21.35,-158.09,71.72600000000008,78,90,3.1
trat,th,12.5,102.5,88.16000000000008,79,40,2.6
kontagora,ng,10.4,5.47,70.88000000000004,13,11,3.06
berbera,so,10.44,45.01,79.26800000000009,71,73,0.73
scarborough,tt,54.28,-0.4,41.14400000000008,93,82,2.6
oistins,bb,13.07,-59.53,77.0,83,75,8.7
constitucion,mx,-35.33,-72.42,57.57800000000007,77,14,2.56
pilar,ph,-9.6,-35.96,77.0,94,75,1.5
port blair,in,11.67,92.75,82.27400000000002,69,100,4.57
azare,ng,11.68,10.19,59.75600000000003,28,24,2.39
salalah,om,17.02,54.09,73.4,60,40,2.1
algeciras,ph,36.13,-5.45,56.912000000000056,87,55,3.6
hounde,bf,11.5,-3.52,71.74400000000007,15,0,1
puerto escondido,mx,15.85,-97.07,80.6,88,20,2.6
kombissiri,bf,12.07,-1.34,81.48200000000001,18,0,2.6
la asuncion,ve,11.03,-63.86,78.8,83,5,5.7
manjeshwar,in,12.72,74.89,84.2,62,18,2.1
aden,ye,12.78,45.04,79.28600000000007,58,58,7.56
bereda,so,43.27,-7.54,43.64600000000005,100,90,1.5
bathsheba,bb,13.22,-59.52,77.0,83,75,8.7
dogondoutchi,ne,13.64,4.03,67.69400000000007,17,0,5.35
niamey,ne,13.51,2.11,75.2,14,0,2.1
nonthaburi,th,13.75,100.5,92.57000000000006,59,20,3.1
mormugao,in,15.4,73.8,80.6,61,20,3.6
niono,ml,14.25,-5.99,72.69800000000002,10,11,3.93
pandan,ph,14.05,124.17,81.12200000000004,77,44,6.87
banawang,ph,14.61,120.39,89.88800000000005,62,20,6.7
sokolo,ml,14.73,-6.12,71.96000000000008,10,0,3.83
palauig,ph,15.44,119.9,82.67000000000006,68,98,4.19
moussoro,td,13.64,16.49,62.096000000000046,29,3,5.28
goure,ne,13.98,10.27,64.99400000000007,24,39,4.02
kutum,sd,14.2,24.67,59.75600000000003,23,99,2.26
dakar,sn,14.69,-17.44,72.28399999999999,88,3,2.1
sal rei,cv,16.18,-22.92,71.6,83,83,3.1
kosum phisai,th,16.25,103.07,95.86400000000003,42,17,1.5
jizan,sa,17.33,42.67,82.4,65,100,4.1
payo,ph,-3.75,103.64,81.95,70,100,1.57
ratnagiri,in,16.98,73.3,98.47400000000002,14,23,1.8
gigmoto,ph,13.78,124.39,80.88800000000005,69,33,3.31
coahuayana,mx,18.73,-103.68,71.6,94,40,1
barra patuca,hn,15.8,-84.28,78.96200000000006,74,0,5.77
pathein,mm,16.78,94.73,89.40200000000007,46,8,3.66
nara,ml,34.69,135.8,47.55200000000008,87,75,1
morant bay,jm,17.88,-76.41,74.73200000000001,69,20,3.1
ponta do sol,cv,32.67,-17.1,59.54000000000002,63,75,5.1
sinnamary,gf,5.38,-52.95,79.88000000000004,80,52,7.99
santa maria,cv,-29.68,-53.81,74.21000000000008,68,0,1.91
cayenne,gf,4.93,-52.33,80.6,78,90,4.1
lompoc,us,34.64,-120.46,54.391999999999996,76,90,3.1
itoman,jp,26.12,127.67,64.25600000000003,77,75,12.3
marawi,sd,8,124.29,82.99400000000007,74,92,3.13
veraval,in,20.9,70.37,86.21600000000001,14,0,6.36
kidal,ml,18.44,1.41,67.80200000000008,16,0,5.05
katsuura,jp,35.13,140.3,40.02800000000006,93,75,8.7
atar,mr,20.52,-13.05,64.20200000000008,14,0,2.7
akyab,mm,20.15,92.9,83.984,55,13,4.23
bilma,ne,18.69,12.92,60.530000000000044,24,0,2.93
san vicente,ph,-26.62,-54.13,72.12200000000004,68,0,0.95
vaijapur,in,19.92,74.73,82.07600000000009,14,9,5.38
santa cruz del sur,cu,20.71,-78,76.33399999999999,82,3,8.59
dwarka,in,22.24,68.97,77.234,49,0,4.58
abha,sa,18.22,42.51,57.110000000000085,93,40,4.1
emilio carranza,mx,19.97,-96.61,75.32600000000009,78,0,5.81
tessalit,ml,20.2,1.01,67.71200000000006,17,0,5.68
codrington,ag,-38.27,141.97,57.57800000000007,66,90,6.97
mae sai,th,20.43,99.88,77.0,57,22,2.1
yangjiang,cn,21.85,111.97,73.99400000000007,58,58,5.12
gandai,in,21.67,81.1,77.84600000000005,68,94,4.31
nizwa,om,22.93,57.53,73.63399999999999,13,91,2.05
kahului,us,20.89,-156.47,70.25,78,90,2.6
cuauhtemoc,mx,28.42,-106.87,51.008,63,100,0.45
hasaki,jp,35.73,140.83,38.69600000000005,93,75,7.7
chuncheng,cn,22.17,111.79,73.99400000000007,58,58,5.12
sur,om,22.57,59.53,78.60200000000007,18,96,1.9
satkhira,bd,22.72,89.1,80.6,65,40,6.7
huejuquilla el alto,mx,22.6,-103.87,60.09800000000003,56,25,1.27
guerrero negro,mx,27.98,-114.06,61.772000000000034,78,0,3.34
the valley,ai,18.22,-63.06,75.542,88,75,2.1
faya,td,18.39,42.45,57.14600000000005,93,40,4.1
kailua,us,21.4,-157.74,71.61800000000008,78,90,2.1
dhana,in,23.75,78.85,82.45400000000005,28,56,2.94
aswan,eg,24.09,32.91,64.11200000000005,38,0,4.46
nuevo progreso,mx,23.17,-97.95,72.33800000000005,92,18,0.45
key west,us,24.56,-81.78,75.05600000000003,83,1,4.6
gat,ly,31.61,34.76,56.46200000000006,87,40,2.1
talhar,pk,24.88,68.82,81.80600000000003,17,0,1.96
zhangzhou,cn,24.51,117.66,64.4,77,90,6
dubai,ae,25.26,55.3,71.54600000000005,28,100,3.1
andros town,bs,24.7,-77.77,73.67000000000006,83,40,4.1
umm lajj,sa,25.02,37.27,68.27000000000007,46,0,6.92
tahta,eg,26.77,31.5,61.12400000000001,50,0,6.43
cockburn town,tc,21.46,-71.14,76.658,79,27,9.11
cockburn town,bs,21.46,-71.14,76.658,79,27,9.11
dali,cn,25.7,100.18,73.31000000000009,21,0,2.82
sann,pk,26.04,68.14,79.32200000000003,19,0,2.81
hojai,in,26,92.87,86.684,37,94,1.24
jiaocheng,cn,24.68,116.14,70.55600000000003,55,58,3.11
los llanos de aridane,es,28.66,-17.92,61.141999999999996,77,75,4.6
galveston,us,29.37,-94.97,70.95200000000008,83,90,3.6
saint pete beach,us,27.73,-82.74,67.94600000000005,68,1,3.37
shaowu,cn,27.34,117.48,61.17800000000007,53,5,4.29
saint george,bm,37.1,-113.58,46.25600000000003,93,90,1.5
pacific grove,us,36.62,-121.92,52.43000000000004,81,90,6.2
puerto del rosario,es,28.5,-13.86,63.37400000000001,77,40,6.2
colonelganj,in,27.13,81.7,78.71000000000008,50,0,2.8
tiznit,ma,29.58,-9.5,53.42000000000006,43,98,0.28
naze,jp,28.37,129.48,63.44600000000005,67,75,6.7
pokaran,in,26.92,71.92,72.78800000000004,26,0,1.7
hamilton,bm,39.18,-84.53,37.76000000000008,86,1,1.43
zhicheng,cn,30.3,111.5,71.99600000000005,31,63,1.7
lishui,cn,28.46,119.91,55.88600000000007,68,89,2.8
pahasu,in,28.18,78.05,76.74800000000002,45,36,4.07
wenling,cn,28.37,121.36,56.516000000000005,72,69,0.45
shimoda,jp,34.67,138.95,41.19800000000002,93,75,11.3
houma,us,29.6,-90.72,68.75600000000003,94,40,2.6
adrar,dz,20.5,-10.07,61.73600000000007,14,0,1.84
nalut,ly,30.33,10.85,53.07800000000007,32,52,3.17
sabha,ly,27.04,14.43,55.22000000000006,33,0,2.33
shenjiamen,cn,29.96,122.3,48.43399999999999,61,14,6.14
las palmas,es,28.42,-14.01,62.6,77,40,6.2
santa cruz de tenerife,es,28.47,-16.25,57.65,81,40,3.6
kushima,jp,31.46,131.23,58.92800000000007,43,20,11.3
bayir,jo,37.27,28.22,46.4,100,0,2.1
nichinan,jp,31.6,131.37,59.12600000000009,46,20,11.3
rudbar,af,30.15,62.6,72.64400000000008,13,0,2.15
doha,kw,25.29,51.53,73.61600000000001,64,100,4.1
uttarkashi,in,30.73,78.45,56.39000000000002,55,32,2.66
darnah,ly,32.77,22.64,61.86200000000006,85,0,11.49
ribeira grande,pt,38.52,-28.7,55.562000000000054,79,81,2.24
huilong,cn,31.81,121.66,55.004000000000055,59,33,4.45
fortuna,us,40.6,-124.16,46.45400000000005,93,90,3.1
palestine,us,31.92,35.2,56.08399999999999,87,40,2.1
silver city,us,32.77,-108.28,43.71800000000009,75,75,4.6
bossier city,us,32.52,-93.73,56.19199999999999,100,90,3.1
selma,us,36.57,-119.61,55.99400000000007,76,0,2.6
sialkot,pk,32.51,74.54,57.2,76,40,6.43
turayf,sa,31.67,38.66,50.0,100,75,9.3
tuscaloosa,us,33.21,-87.57,59.432000000000016,77,40,2.6
marsa matruh,eg,31.35,27.25,61.483999999999995,84,0,5.52
ahuimanu,us,21.44,-157.84,71.65400000000005,78,90,2.1
jiangyou,cn,31.77,104.72,58.748000000000026,30,14,3.26
bengbu,cn,32.94,117.36,59.288000000000046,39,5,6.61
buckeye,us,33.37,-112.58,55.13000000000004,87,40,3.1
leeds,us,53.8,-1.55,40.55,93,75,2.6
birjand,ir,32.87,59.22,51.8,14,26,5.1
nikolskoye,ru,59.7,30.79,23.07200000000004,53,100,5
torbay,ca,47.67,-52.73,26.204000000000054,79,90,7.2
east los angeles,us,34.02,-118.17,54.5,93,90,1.81
north myrtle beach,us,33.82,-78.68,63.464000000000034,88,1,4.43
toccoa,us,34.58,-83.33,57.36200000000006,63,40,1.5
fayetteville,us,35.05,-78.88,63.01400000000003,88,40,1.5
lefka,cy,35.11,32.85,58.13600000000007,93,40,1
yuncheng,cn,35.02,110.99,58.40600000000003,14,0,5.69
houma,cn,29.6,-90.72,68.75600000000003,94,40,2.6
karpathos,gr,35.51,27.21,59.0,82,0,3.6
korla,cn,41.76,86.15,34.30400000000005,33,16,1.51
kawaguchi,jp,35.8,139.72,39.48800000000004,93,75,5.1
kargil,in,34.57,76.1,15.674000000000014,76,100,1.48
tall kayf,iq,37.08,41.07,55.4,76,75,8.7
albufeira,pt,37.09,-8.25,55.67000000000006,87,0,3.1
sidi ali,dz,36.1,0.42,52.57400000000001,90,96,0.69
